#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         478    -5.70151    -5.89524   0.0095974
         479    -5.69958    -5.89484  0.00958605
         480    -5.69922    -5.89443  0.00957474
         481    -5.68381    -5.89399  0.00956484
         482    -5.70122    -5.89359  0.00955335
         483     -5.7061     -5.8932  0.00954145
         484    -5.71575    -5.89284  0.00952878
         485     -5.7016    -5.89244  0.00951729
         486    -5.71408    -5.89207  0.00950478
         487    -5.72144    -5.89172  0.00949172
         488    -5.72718    -5.89139  0.00947826
         489    -5.73857    -5.89107  0.00946402
         490    -5.73652    -5.89076  0.00944996
         491    -5.72309    -5.89042  0.00943689
         492    -5.71532    -5.89006  0.00942441
         493    -5.71397     -5.8897  0.00941206
         494    -5.72379    -5.88937    0.009399
         495    -5.71933    -5.88903  0.00938629
         496    -5.71511    -5.88867  0.00937391
         497    -5.72491    -5.88835  0.00936084
         498    -5.73177    -5.88803  0.00934732
         499    -5.74172    -5.88774  0.00933319
         500    -5.74276    -5.88745  0.00931902
         501    -5.74015    -5.88715  0.00930506
         502    -5.73787    -5.88686  0.00929127
         503    -5.73506    -5.88655   0.0092777
         504    -5.71923    -5.88622  0.00926523
         505     -5.7227     -5.8859  0.00925254
         506    -5.71242    -5.88556   0.0092406
         507    -5.71013    -5.88521  0.00922885
         508    -5.70738    -5.88486  0.00921732
         509    -5.70859    -5.88451  0.00920572
         510    -5.70456    -5.88416  0.00919443
         511    -5.69441    -5.88379  0.00918393
         512    -5.70612    -5.88344  0.00917255
         513     -5.7013    -5.88309  0.00916154
         514    -5.69739    -5.88273  0.00915083
         515    -5.70724    -5.88239  0.00913941
         516    -5.70829    -5.88205  0.00912792
         517    -5.69103    -5.88168  0.00911774
         518     -5.7019    -5.88133  0.00910674
         519    -5.68342    -5.88095  0.00909717
         520    -5.67647    -5.88056  0.00908817
         521    -5.67819    -5.88017  0.00907903
         522    -5.67277    -5.87977  0.00907032
         523    -5.67095    -5.87937  0.00906177
         524    -5.65826    -5.87895  0.00905429
         525    -5.64969    -5.87851  0.00904757
