#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         142     0.30303     0.30303 1.76844e-09
         143     0.30303     0.30303 1.76225e-09
         144     0.30303     0.30303 1.83659e-09
         145     0.30303     0.30303 1.85621e-09
         146     0.30303     0.30303 1.87536e-09
         147     0.30303     0.30303 1.84354e-09
         148     0.30303     0.30303  1.8373e-09
         149     0.30303     0.30303 1.85638e-09
         150     0.30303     0.30303 1.85019e-09
         151     0.30303     0.30303 1.84405e-09
         152     0.30303     0.30303 1.83797e-09
         153     0.30303     0.30303 1.90478e-09
         154     0.30303     0.30303 1.89858e-09
         155     0.30303     0.30303 1.89245e-09
         156     0.30303     0.30303 1.93296e-09
         157     0.30303     0.30303 1.92679e-09
         158     0.30303     0.30303 1.92069e-09
         159     0.30303     0.30303 1.91464e-09
         160     0.30303     0.30303 1.90864e-09
         161     0.30303     0.30303 1.90271e-09
         162     0.30303     0.30303 1.89682e-09
         163     0.30303     0.30303 1.95737e-09
         164     0.30303     0.30303 1.95139e-09
         165     0.30303     0.30303 1.94547e-09
         166     0.30303     0.30303 1.96103e-09
         167     0.30303     0.30303 1.93378e-09
         168     0.30303     0.30303  1.9704e-09
         169     0.30303     0.30303 1.98535e-09
         170     0.30303     0.30303  1.9795e-09
         171     0.30303     0.30303 1.95304e-09
         172     0.30303     0.30303 1.94735e-09
         173     0.30303     0.30303 1.96227e-09
         174     0.30303     0.30303 1.95662e-09
         175     0.30303     0.30303 1.93059e-09
         176     0.30303     0.30303 1.94547e-09
         177     0.30303     0.30303 1.96007e-09
         178     0.30303     0.30303  1.9744e-09
         179     0.30303     0.30303 1.96888e-09
         180     0.30303     0.30303 1.94367e-09
         181     0.30303     0.30303 2.01585e-09
         182     0.30303     0.30303 2.01031e-09
         183     0.30303     0.30303  1.9858e-09
         184     0.30303     0.30303 1.99935e-09
         185     0.30303     0.30303 2.01266e-09
         186     0.30303     0.30303 1.98857e-09
         187     0.30303     0.30303 1.98325e-09
         188     0.30303     0.30303 1.99654e-09
         189     0.30303     0.30303 1.97273e-09
         190     0.30303     0.30303 2.00431e-09
         191     0.30303     0.30303 2.01715e-09
         192     0.30303     0.30303 1.95726e-09
         193     0.30303     0.30303 1.95218e-09
         194     0.30303     0.30303 1.89123e-09
         195     0.30303     0.30303 1.88637e-09
         196     0.30303     0.30303 1.90028e-09
         197     0.30303     0.30303 1.83886e-09
         198     0.30303     0.30303 1.79559e-09
         199     0.30303     0.30303 1.81043e-09
         200     0.30303     0.30303 1.72735e-09
         201     0.30303     0.30303 1.72304e-09
         202     0.30303     0.30303 1.73864e-09
         203     0.30303     0.30303 1.67419e-09
         204     0.30303     0.30303 1.69032e-09
         205     0.30303     0.30303 1.62486e-09
         206     0.30303     0.30303 1.59999e-09
         207     0.30303     0.30303 1.61699e-09
         208     0.30303     0.30303 1.57119e-09
         209     0.30303     0.30303  1.5461e-09
         210     0.30303     0.30303 1.49896e-09
         211     0.30303     0.30303 1.47325e-09
         212     0.30303     0.30303 1.44733e-09
         213     0.30303     0.30303 1.44393e-09
         214     0.30303     0.30303 1.37136e-09
         215     0.30303     0.30303 1.39156e-09
         216     0.30303     0.30303 1.38833e-09
         217     0.30303     0.30303 1.36185e-09
         218     0.30303     0.30303 1.38195e-09
         219     0.30303     0.30303 1.30804e-09
         220     0.30303     0.30303 1.30506e-09
         221     0.30303     0.30303 1.25295e-09
         222     0.30303     0.30303 1.25013e-09
         223     0.30303     0.30303 1.17009e-09
         224     0.30303     0.30303 1.16747e-09
         225     0.30303     0.30303 1.13809e-09
         226     0.30303     0.30303 1.10821e-09
         227     0.30303     0.30303 1.10576e-09
         228     0.30303     0.30303 1.10334e-09
         229     0.30303     0.30303 1.10092e-09
         230     0.30303     0.30303 1.01279e-09
         231     0.30303     0.30303  1.0106e-09
         232     0.30303     0.30303 9.47244e-10
         233     0.30303     0.30303 9.76208e-10
         234     0.30303     0.30303 8.78059e-10
         235     0.30303     0.30303 8.76189e-10
         236     0.30303     0.30303 9.07336e-10
         237     0.30303     0.30303 7.65219e-10
         238     0.30303     0.30303 8.70649e-10
         239     0.30303     0.30303 7.99204e-10
         240     0.30303     0.30303 7.60422e-10
         241     0.30303     0.30303 7.58842e-10
         242     0.30303     0.30303 7.18412e-10
         243     0.30303     0.30303  6.7593e-10
         244     0.30303     0.30303 5.84172e-10
         245     0.30303     0.30303 5.32184e-10
         246     0.30303     0.30303 5.31102e-10
         247     0.30303     0.30303 4.74069e-10
         248     0.30303     0.30303 4.09727e-10
         249     0.30303     0.30303 5.27892e-10
         250     0.30303     0.30303 4.71216e-10
         251     0.30303     0.30303 4.07271e-10
         252     0.30303     0.30303 2.34671e-10
         253     0.30303     0.30303 2.34207e-10
         254     0.30303     0.30303           0
         255     0.30303     0.30303 2.33287e-10
         256     0.30303     0.30303 2.32831e-10
         257     0.30303     0.30303 3.28631e-10
         258     0.30303     0.30303 4.01708e-10
         259     0.30303     0.30303 4.00932e-10
         260     0.30303     0.30303  3.2673e-10
         261     0.30303     0.30303 3.99393e-10
         262     0.30303     0.30303 4.60298e-10
         263     0.30303     0.30303 3.97872e-10
         264     0.30303     0.30303 5.61609e-10
         265     0.30303     0.30303 6.05461e-10
         266     0.30303     0.30303 5.59493e-10
         267     0.30303     0.30303 6.44836e-10
         268     0.30303     0.30303 6.82675e-10
         269     0.30303     0.30303 6.42435e-10
         270     0.30303     0.30303 7.51925e-10
         271     0.30303     0.30303  6.4006e-10
         272     0.30303     0.30303 7.49156e-10
         273     0.30303     0.30303 7.47782e-10
         274     0.30303     0.30303 7.46416e-10
         275     0.30303     0.30303 7.45058e-10
         276     0.30303     0.30303 8.08495e-10
         277     0.30303     0.30303 8.07034e-10
         278     0.30303     0.30303 8.05581e-10
         279     0.30303     0.30303 9.19565e-10
         280     0.30303     0.30303 8.90515e-10
         281     0.30303     0.30303 8.88929e-10
         282     0.30303     0.30303 8.87351e-10
         283     0.30303     0.30303 8.85782e-10
         284     0.30303     0.30303 8.84221e-10
         285     0.30303     0.30303 9.36211e-10
         286     0.30303     0.30303 9.34573e-10
         287     0.30303     0.30303 9.32944e-10
         288     0.30303     0.30303   9.817e-10
         289     0.30303     0.30303     9.8e-10
         290     0.30303     0.30303 9.78309e-10
         291     0.30303     0.30303 1.00074e-09
         292     0.30303     0.30303 1.09003e-09
         293     0.30303     0.30303 1.04373e-09
         294     0.30303     0.30303 1.06437e-09
         295     0.30303     0.30303 1.12702e-09
         296     0.30303     0.30303 1.14576e-09
         297     0.30303     0.30303 1.14383e-09
         298     0.30303     0.30303 1.22075e-09
         299     0.30303     0.30303 1.21871e-09
         300     0.30303     0.30303 1.23554e-09
         301     0.30303     0.30303 1.23348e-09
         302     0.30303     0.30303 1.30394e-09
         303     0.30303     0.30303 1.31926e-09
         304     0.30303     0.30303 1.26403e-09
         305     0.30303     0.30303 1.33212e-09
         306     0.30303     0.30303 1.32994e-09
         307     0.30303     0.30303 1.34469e-09
         308     0.30303     0.30303  1.3425e-09
         309     0.30303     0.30303 1.40575e-09
         310     0.30303     0.30303 1.40348e-09
         311     0.30303     0.30303 1.41705e-09
         312     0.30303     0.30303 1.41478e-09
         313     0.30303     0.30303 1.45884e-09
         314     0.30303     0.30303 1.47161e-09
         315     0.30303     0.30303 1.43898e-09
         316     0.30303     0.30303 1.48184e-09
         317     0.30303     0.30303  1.4795e-09
         318     0.30303     0.30303 1.49187e-09
         319     0.30303     0.30303 1.48953e-09
         320     0.30303     0.30303 1.54442e-09
         321     0.30303     0.30303 1.55597e-09
         322     0.30303     0.30303 1.55355e-09
         323     0.30303     0.30303 1.56493e-09
         324     0.30303     0.30303 1.58969e-09
         325     0.30303     0.30303 1.60064e-09
         326     0.30303     0.30303 1.61145e-09
         327     0.30303     0.30303 1.58239e-09
         328     0.30303     0.30303 1.61964e-09
         329     0.30303     0.30303 1.61718e-09
         330     0.30303     0.30303 1.61473e-09
         331     0.30303     0.30303 1.63808e-09
         332     0.30303     0.30303 1.67351e-09
         333     0.30303     0.30303   1.671e-09
         334     0.30303     0.30303  1.6809e-09
         335     0.30303     0.30303 1.67839e-09
         336     0.30303     0.30303 1.71246e-09
         337     0.30303     0.30303 1.72191e-09
         338     0.30303     0.30303 1.69532e-09
         339     0.30303     0.30303 1.70486e-09
         340     0.30303     0.30303 1.72616e-09
         341     0.30303     0.30303 1.72363e-09
         342     0.30303     0.30303 1.74453e-09
         343     0.30303     0.30303 1.74198e-09
         344     0.30303     0.30303  1.7739e-09
         345     0.30303     0.30303 1.78264e-09
         346     0.30303     0.30303 1.78006e-09
         347     0.30303     0.30303  1.7775e-09
         348     0.30303     0.30303 1.78614e-09
         349     0.30303     0.30303 1.79469e-09
         350     0.30303     0.30303 1.79213e-09
         351     0.30303     0.30303 1.80058e-09
         352     0.30303     0.30303 1.81982e-09
         353     0.30303     0.30303 1.81724e-09
         354     0.30303     0.30303 1.82544e-09
         355     0.30303     0.30303 1.82287e-09
         356     0.30303     0.30303  1.8416e-09
         357     0.30303     0.30303 1.86003e-09
         358     0.30303     0.30303 1.85743e-09
         359     0.30303     0.30303 1.86524e-09
         360     0.30303     0.30303 1.84183e-09
         361     0.30303     0.30303 1.86006e-09
         362     0.30303     0.30303 1.86778e-09
         363     0.30303     0.30303 1.86521e-09
         364     0.30303     0.30303 1.86265e-09
         365     0.30303     0.30303 1.87028e-09
