#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         436    -5.54993    -5.56132  0.00456095
         437    -5.54547    -5.56128  0.00455065
         438     -5.5435    -5.56124  0.00454045
         439    -5.54506     -5.5612  0.00453025
         440    -5.54357    -5.56116  0.00452013
         441    -5.53691    -5.56111  0.00451022
         442    -5.52871    -5.56104  0.00450061
         443    -5.52258    -5.56095  0.00449129
         444    -5.52042    -5.56086   0.0044821
         445    -5.52292    -5.56077  0.00447284
         446    -5.52622     -5.5607  0.00446348
         447    -5.52535    -5.56062   0.0044542
         448    -5.52224    -5.56053  0.00444508
         449    -5.51773    -5.56044   0.0044362
         450    -5.51514    -5.56033  0.00442748
         451    -5.52374    -5.56025  0.00441841
         452    -5.54291    -5.56022   0.0044088
         453     -5.5671    -5.56023  0.00439909
         454    -5.58581    -5.56029  0.00438977
         455    -5.58544    -5.56034  0.00438047
         456    -5.56548    -5.56035  0.00437087
         457    -5.53567     -5.5603  0.00436164
         458    -5.51143    -5.56019  0.00435343
         459    -5.50844    -5.56008   0.0043454
         460    -5.52601    -5.56001  0.00433659
         461    -5.55826       -5.56  0.00432718
         462    -5.59434    -5.56008  0.00431845
         463    -5.62184    -5.56021  0.00431119
         464    -5.63208    -5.56036  0.00430468
         465    -5.62326     -5.5605  0.00429754
         466    -5.60262    -5.56059  0.00428927
         467    -5.57532    -5.56062   0.0042802
         468    -5.55041     -5.5606  0.00427111
         469    -5.53517    -5.56055  0.00426235
         470      -5.529    -5.56048  0.00425381
         471    -5.52755    -5.56041  0.00424535
         472    -5.52836    -5.56034   0.0042369
         473    -5.52937    -5.56028  0.00422845
         474    -5.52578     -5.5602  0.00422016
         475     -5.5208    -5.56012  0.00421209
         476    -5.51004    -5.56001  0.00420455
         477    -5.49884    -5.55989  0.00419769
         478    -5.49028    -5.55974  0.00419144
         479    -5.48219    -5.55958  0.00418581
         480    -5.47707    -5.55941  0.00418062
         481    -5.47271    -5.55923  0.00417581
         482    -5.47023    -5.55904  0.00417123
         483    -5.47394    -5.55887  0.00416631
         484    -5.48774    -5.55872  0.00416029
         485    -5.50807    -5.55861  0.00415303
         486    -5.53028    -5.55856  0.00414489
         487    -5.55052    -5.55854  0.00413641
         488    -5.56329    -5.55855  0.00412795
         489    -5.57069    -5.55857  0.00411958
         490    -5.57219     -5.5586  0.00411127
         491    -5.56794    -5.55862  0.00410294
         492    -5.56596    -5.55864  0.00409462
         493    -5.56855    -5.55866  0.00408637
         494    -5.57958     -5.5587  0.00407832
         495    -5.58769    -5.55876   0.0040705
         496    -5.58707    -5.55881  0.00406269
         497    -5.57197    -5.55884   0.0040546
         498    -5.54868    -5.55882  0.00404651
         499    -5.52113    -5.55874  0.00403911
         500    -5.49837    -5.55862  0.00403283
         501    -5.48342    -5.55847  0.00402758
         502    -5.47995    -5.55832  0.00402259
         503    -5.48426    -5.55817  0.00401729
         504    -5.49154    -5.55804  0.00401149
         505    -5.49654    -5.55792   0.0040054
         506    -5.49896     -5.5578  0.00399917
         507    -5.50238    -5.55769  0.00399278
