#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         331   0.0555556   0.0555556  1.3051e-10
         332   0.0555556   0.0555556 1.19871e-10
         333   0.0555556   0.0555556  1.1412e-10
         334   0.0555556   0.0555556 1.13949e-10
         335   0.0555556   0.0555556 1.01767e-10
         336   0.0555556   0.0555556 8.80017e-11
         337   0.0555556   0.0555556  8.7871e-11
         338   0.0555556   0.0555556 7.16402e-11
         339   0.0555556   0.0555556 6.19507e-11
         340   0.0555556   0.0555556 6.18595e-11
         341   0.0555556   0.0555556 3.56622e-11
         342   0.0555556   0.0555556 5.03602e-11
         343   0.0555556   0.0555556           0
         344   0.0555556   0.0555556 5.02135e-11
         345   0.0555556   0.0555556 5.01407e-11
         346   0.0555556   0.0555556 7.08071e-11
         347   0.0555556   0.0555556  7.0705e-11
         348   0.0555556   0.0555556  7.8937e-11
         349   0.0555556   0.0555556 9.32656e-11
         350   0.0555556   0.0555556 9.31323e-11
         351   0.0555556   0.0555556 1.05452e-10
         352   0.0555556   0.0555556 1.05302e-10
         353   0.0555556   0.0555556  1.1625e-10
         354   0.0555556   0.0555556 1.21248e-10
         355   0.0555556   0.0555556 1.21077e-10
         356   0.0555556   0.0555556 1.30594e-10
         357   0.0555556   0.0555556 1.30411e-10
         358   0.0555556   0.0555556 1.39221e-10
         359   0.0555556   0.0555556 1.39027e-10
         360   0.0555556   0.0555556 1.47255e-10
         361   0.0555556   0.0555556 1.55005e-10
         362   0.0555556   0.0555556 1.54791e-10
         363   0.0555556   0.0555556 1.58395e-10
         364   0.0555556   0.0555556 1.58177e-10
         365   0.0555556   0.0555556 1.65311e-10
         366   0.0555556   0.0555556 1.65085e-10
         367   0.0555556   0.0555556 1.71879e-10
         368   0.0555556   0.0555556 1.71645e-10
         369   0.0555556   0.0555556 1.78137e-10
         370   0.0555556   0.0555556  1.8116e-10
         371   0.0555556   0.0555556 1.80916e-10
         372   0.0555556   0.0555556 1.87014e-10
         373   0.0555556   0.0555556 1.86763e-10
         374   0.0555556   0.0555556  1.9263e-10
         375   0.0555556   0.0555556 1.92373e-10
         376   0.0555556   0.0555556  1.9803e-10
         377   0.0555556   0.0555556 1.97767e-10
         378   0.0555556   0.0555556 2.03231e-10
         379   0.0555556   0.0555556 2.02963e-10
         380   0.0555556   0.0555556 2.05492e-10
         381   0.0555556   0.0555556 2.05222e-10
         382   0.0555556   0.0555556 2.10419e-10
         383   0.0555556   0.0555556 2.10145e-10
         384   0.0555556   0.0555556 2.15185e-10
         385   0.0555556   0.0555556 2.14905e-10
         386   0.0555556   0.0555556 2.19799e-10
         387   0.0555556   0.0555556 2.19515e-10
         388   0.0555556   0.0555556 2.21766e-10
         389   0.0555556   0.0555556 2.21481e-10
         390   0.0555556   0.0555556 2.26168e-10
         391   0.0555556   0.0555556 2.25879e-10
         392   0.0555556   0.0555556 2.30443e-10
         393   0.0555556   0.0555556 2.30149e-10
         394   0.0555556   0.0555556 2.29857e-10
         395   0.0555556   0.0555556   2.343e-10
         396   0.0555556   0.0555556 2.34004e-10
         397   0.0555556   0.0555556 2.38337e-10
         398   0.0555556   0.0555556 2.38037e-10
         399   0.0555556   0.0555556 2.40014e-10
         400   0.0555556   0.0555556 2.39714e-10
         401   0.0555556   0.0555556  2.4389e-10
         402   0.0555556   0.0555556 2.43587e-10
         403   0.0555556   0.0555556 2.47668e-10
         404   0.0555556   0.0555556 2.47361e-10
         405   0.0555556   0.0555556 2.47056e-10
         406   0.0555556   0.0555556 2.51043e-10
         407   0.0555556   0.0555556 2.50734e-10
         408   0.0555556   0.0555556  2.5254e-10
         409   0.0555556   0.0555556 2.52231e-10
         410   0.0555556   0.0555556 2.56088e-10
         411   0.0555556   0.0555556 2.55776e-10
         412   0.0555556   0.0555556 2.59553e-10
         413   0.0555556   0.0555556 2.59239e-10
         414   0.0555556   0.0555556 2.58926e-10
         415   0.0555556   0.0555556 2.62623e-10
         416   0.0555556   0.0555556 2.62307e-10
         417   0.0555556   0.0555556 2.65933e-10
         418   0.0555556   0.0555556 2.65614e-10
         419   0.0555556   0.0555556 2.65297e-10
         420   0.0555556   0.0555556 2.66922e-10
         421   0.0555556   0.0555556 2.66605e-10
         422   0.0555556   0.0555556 2.70121e-10
         423   0.0555556   0.0555556 2.69801e-10
         424   0.0555556   0.0555556 2.73252e-10
         425   0.0555556   0.0555556 2.72931e-10
         426   0.0555556   0.0555556  2.7261e-10
         427   0.0555556   0.0555556 2.75995e-10
         428   0.0555556   0.0555556 2.75673e-10
         429   0.0555556   0.0555556 2.77181e-10
         430   0.0555556   0.0555556 2.76858e-10
         431   0.0555556   0.0555556 2.76537e-10
         432   0.0555556   0.0555556 2.79828e-10
         433   0.0555556   0.0555556 2.79504e-10
         434   0.0555556   0.0555556 2.79182e-10
         435   0.0555556   0.0555556 2.82414e-10
         436   0.0555556   0.0555556 2.82089e-10
         437   0.0555556   0.0555556 2.85267e-10
         438   0.0555556   0.0555556 2.84941e-10
         439   0.0555556   0.0555556 2.82876e-10
         440   0.0555556   0.0555556 2.86021e-10
         441   0.0555556   0.0555556 2.85696e-10
         442   0.0555556   0.0555556 2.87087e-10
         443   0.0555556   0.0555556 2.86763e-10
         444   0.0555556   0.0555556  2.8644e-10
         445   0.0555556   0.0555556 2.89504e-10
         446   0.0555556   0.0555556 2.89179e-10
         447   0.0555556   0.0555556 2.88855e-10
         448   0.0555556   0.0555556 2.91869e-10
         449   0.0555556   0.0555556 2.91543e-10
         450   0.0555556   0.0555556 2.91219e-10
         451   0.0555556   0.0555556 2.94183e-10
