#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         431    -3.09765    -4.46264   0.0548152
         432    -3.10407     -4.4595   0.0547785
         433    -3.14443    -4.45646   0.0547361
         434    -3.11994    -4.45338   0.0546965
         435    -3.06851     -4.4502   0.0546634
         436    -2.98512    -4.44684   0.0546412
         437    -2.91765    -4.44334   0.0546281
         438    -2.94921    -4.43993   0.0546098
         439    -2.90225    -4.43643   0.0545976
         440    -2.79969    -4.43271   0.0546001
         441    -2.79566    -4.42899   0.0546023
         442    -2.84673    -4.42541    0.054596
         443    -2.76358    -4.42166   0.0546015
         444    -2.87194    -4.41817     0.05459
         445    -2.90484    -4.41477   0.0545731
         446    -2.97304    -4.41154   0.0545464
         447    -2.96771    -4.40831   0.0545199
         448    -3.08613    -4.40536    0.054478
         449    -3.13589    -4.40253     0.05443
         450    -3.10342    -4.39964   0.0543856
         451    -3.03184    -4.39661   0.0543495
         452    -3.04664    -4.39362   0.0543112
         453    -3.04303    -4.39064   0.0542731
         454    -3.01532    -4.38761   0.0542381
         455    -3.01317    -4.38459   0.0542029
         456    -2.94205    -4.38143   0.0541763
         457    -3.00883    -4.37842   0.0541409
         458    -3.06246    -4.37555   0.0540989
         459    -3.07459    -4.37272   0.0540552
         460    -3.01825    -4.36977   0.0540179
         461    -3.01712    -4.36684   0.0539803
         462    -3.01969    -4.36392   0.0539422
         463    -2.99077    -4.36096   0.0539071
         464    -2.89058    -4.35779    0.053884
         465    -2.92928    -4.35472   0.0538556
         466    -2.92412    -4.35165   0.0538275
         467    -2.97526     -4.3487   0.0537929
         468    -2.97736    -4.34577   0.0537577
         469     -3.0112    -4.34292   0.0537183
         470    -3.09718    -4.34027   0.0536694
         471    -3.04555    -4.33752   0.0536258
         472    -2.98048    -4.33465   0.0535892
         473    -2.95001    -4.33172   0.0535558
         474     -2.9745    -4.32886   0.0535193
         475    -2.97323      -4.326   0.0534826
         476    -3.00735    -4.32323    0.053442
         477    -3.10428    -4.32068    0.053391
         478      -3.172    -4.31827   0.0533334
         479     -3.1674    -4.31587   0.0532761
         480    -3.17679     -4.3135   0.0532179
         481    -3.10266    -4.31098   0.0531668
         482    -3.18547    -4.30865   0.0531078
         483    -3.20266    -4.30636   0.0530471
         484    -3.24243    -4.30416   0.0529831
         485    -3.16478    -4.30181   0.0529259
         486    -3.20602    -4.29955    0.052865
         487    -3.24975     -4.2974   0.0528004
         488    -3.27668    -4.29531   0.0527336
         489    -3.32901    -4.29333   0.0526628
         490    -3.32369    -4.29135   0.0525924
         491     -3.2685    -4.28927   0.0525266
         492    -3.23419    -4.28712   0.0524636
         493      -3.234    -4.28499   0.0524006
         494    -3.27512    -4.28294   0.0523344
         495     -3.2566    -4.28087   0.0522697
         496    -3.23605    -4.27876   0.0522068
         497    -3.28307    -4.27676   0.0521402
         498    -3.31201    -4.27482   0.0520715
         499    -3.36976    -4.27301   0.0519987
         500    -3.37499    -4.27121   0.0519257
         501    -3.35118    -4.26938   0.0518545
         502    -3.34986    -4.26755   0.0517836
         503    -3.34316    -4.26571   0.0517132
         504    -3.27843    -4.26375   0.0516477
         505    -3.29841    -4.26184   0.0515808
         506    -3.25098    -4.25984   0.0515175
         507    -3.23405    -4.25782   0.0514556
         508    -3.22236    -4.25578   0.0513947
         509     -3.2205    -4.25374   0.0513339
         510     -3.2164    -4.25171   0.0512736
         511    -3.16553    -4.24958   0.0512173
         512      -3.208    -4.24755   0.0511576
         513    -3.18421    -4.24548   0.0510999
         514    -3.16959    -4.24338   0.0510433
         515    -3.20667    -4.24137   0.0509839
         516    -3.21838    -4.23939   0.0509236
         517    -3.12802    -4.23724   0.0508704
         518    -3.16987    -4.23518    0.050814
         519    -3.07837    -4.23295   0.0507649
         520    -3.05232    -4.23068    0.050718
         521     -3.0503    -4.22841   0.0506713
         522    -3.04019    -4.22614   0.0506253
         523    -3.02684    -4.22384   0.0505804
         524    -2.97594    -4.22146   0.0505399
         525    -2.92624      -4.219   0.0505038
         526    -3.09953    -4.21687   0.0504526
         527    -3.08509    -4.21472   0.0504026
         528    -3.02851    -4.21247   0.0503572
         529    -3.07183    -4.21032   0.0503081
         530    -3.10973    -4.20824    0.050256
         531     -2.9539    -4.20588   0.0502169
         532    -3.03284    -4.20367   0.0501709
         533    -3.00296    -4.20142   0.0501273
         534    -3.12223     -4.1994   0.0500741
